codigo,descripcion,unidades_por_bulto
004217,JENGIBRE MOLIDO KALDINI 67 GR,24
000174,JOJOTO BANDEJA,1
004139,JUGO 3 EN 1 SANTAL ACTIVE 1.5 LT,6
004057,JUGO 3 EN 1 SANTAL ACTIVE 500 ML,12
000953,JUGO 60% NARANJA DEL MONTE 200 ML,1
001832,JUGO DE DURAZNO CARTON NATULAC 1 LT,12
001480,JUGO DE DURAZNO EL TUNAL 1 LT,12
004099,JUGO DE DURAZNO KAITO 200 ML,27
001007,JUGO DE DURAZNO YUKERY 1.5 LT,6
001798,JUGO DE DURAZNO YUKERY 250 ML,12
004093,JUGO DE FRUTAS TROPICALES AKUITA KAITO 200 ML,27
004094,JUGO DE GUAYABA - PIÑA KAITO 200 ML,27
001838,JUGO DE MANGO CARTON NATULAC 1 LT,12
004799,JUGO DE MANZANA 100% KAITO 200 ML,27
004092,JUGO DE MANZANA AKUITA KAITO 200 ML,27
001478,JUGO DE MANZANA EL TUNAL 1 LT,12
000845,JUGO DE MANZANA LIGHT SANTAL 1.5 LT,6
001013,JUGO DE MANZANA YUKERY 1.5 LT,6
003369,JUGO DE NARA-MANGO YUKERY 1.5 LT,6
005247,JUGO DE NARANJA 60% S/AZUCAR YUKY-PAK 250 ML,24
001477,JUGO DE NARANJA EL TUNAL 1 LT,12
000853,JUGO DE NARANJA FRICA 500 ML,12
004141,JUGO DE NARANJA KAITO 200 ML,27
001840,JUGO DE NARANJA NATULAC 1 LT,12
001829,JUGO DE NARANJA NATULAC 250 ML,24
003800,JUGO DE NARANJA NATULAC 330 ML,12
004373,JUGO DE NARANJA NATULAC TRIPACK 250 ML,1
001003,JUGO DE NARANJA YUKERY 1.5 LT,6
001948,JUGO DE NARANJA YUKERY 250 ML,12
000846,JUGO DE NARANJA-ZANAHORIA SANTAL ACTIVE 1.5 LT,6
001834,JUGO DE PERA CARTON NATULAC 1 LT,12
001479,JUGO DE PERA EL TUNAL 1 LT,12
004112,JUGO DE PERA KAITO 200 ML,27
003947,JUGO DE PERA LIGHT SANTAL 500 ML,12
001008,JUGO DE PERA YUKERY 1.5 LT,6
001800,JUGO DE PERA YUKERY 250 ML,12
004771,JUGO DE PIÑA 100% TPA NATULAC 330 ML,1
000849,JUGO DURAZNO LIGHT SANTAL 500 ML,12
000865,JUGO DURAZNO SANTAL LIGHT 1.5 LT,6
001010,JUGO DURAZNO YUKERY 500 ML,12
002354,JUGO FRUTAS PASION MIX FRUTTSI 250 ML,24
002356,JUGO FRUTAS TROPICALES FRUTTSI 250 ML,24
002355,JUGO FRUTOS ROJOS FRUTTSI 250 ML,24
005079,JUGO MANGO FRUTTSI 250 ML,24
001799,JUGO MANGO YUKERY 250 ML,12
001011,JUGO MANGO YUKERY 500 ML,12
000850,JUGO MANZANA LIGHT SANTAL 500 ML,12
001824,JUGO MANZANA NATULAC 150 ML,1
001836,JUGO MANZANA NATULAC CARTON 1 LT,12
004222,JUGO MANZANA YUKERY 500 ML,12
001855,JUGO NARANJA 100 % TBA CARTON NATULAC 1 LT,1
000854,JUGO NARANJA FRICA PARMALAT 1.5 LT,6
005128,JUGO NARANJA SIN AZUCAR YUKERY 1.5 LT,6
000851,JUGO NARANJA-ZANAHORIA SANTAL ACTIVE 500 ML,12
000841,JUGO PERA FRICA PARMALAT 1 LT,1
001825,JUGO PERA NATULAC 150 ML,1
004235,JUGO PERA YUKERY 500 ML,12
004581,JUGO ZUMO SURTIDOS NUTIVA SIX PACK 200 ML,1
001913,KESITOS MUNCHY 85 GR,20
001933,KESITOS XXL MUNCHY 180 GR,10
000263,KIWIS KG,1
001863,LACTOVISOY 1 KG,12
001872,LACTOVISOY 500 GR,24
003725,LAGARTO C/ HUESO TAURUS BDJ 1 KG (NO USAR),1
003079,LAGARTO SIN HUESO ALTODEVA 1 KG (NO USAR),1
003089,LAGARTO SIN HUESO ALTODEVA 500 GR (NO USAR),1
001754,LA LUCHA CARAOTAS ROJAS 400GR,24
000578,LAVAPLATOS EN CREMA CITRUS POWER ZAGAZ 235 GR,1
000579,LAVAPLATOS EN CREMA CITRUS POWER ZAGAZ 425 GR,1
002389,LAVAPLATOS EN CREMA CORTA GRASA LIMON AXION 450 GR,24
000581,LAVAPLATOS EN CREMA FRUTOS ROJOS ZAGAZ 235 GR,1
000580,LAVAPLATOS EN CREMA FRUTOS ROJOS ZAGAZ 425 GR,1
000683,LAVAPLATOS EN CREMA LIMA LIMON AXION 450 GR,24
002599,LAVAPLATOS EN CREMA LIMON AXION 150 GR,72
002391,LAVAPLATOS EN CREMA LIMON AXION  235 GR,48
003789,LAVAPLATOS EN CREMA LIMON AXION 2X450 GR,1
000662,LAVAPLATOS EN CREMA LIMON AXION 450 GR,24
000585,LAVAPLATOS EN CREMA LIMONCELLO ZAGAZ 235 GR,1
000582,LAVAPLATOS EN CREMA LIMONCELLO ZAGAZ 425 GR,1
004837,LAVAPLATOS EN CREMA LIMON VALE 250 GR,36
004281,LAVAPLATOS EN CREMA LIMON VALE 500 GR,24
000583,LAVAPLATOS EN CREMA PEACH BELLINI ZAGAZ 235 GR,1
000584,LAVAPLATOS EN CREMA PEACH BELLINI ZAGAZ 425 GR,1
002104,LAVAPLATOS EN CREMA PREMIO 150 GR,1
004609,LAVAPLATOS EN CREMA PREMIO 180 GR,48
002107,LAVAPLATOS EN CREMA PREMIO 250 GR,36
002106,LAVAPLATOS EN CREMA PREMIO 450 GR,24
005052,LAVAPLATOS EN CREMA TK 500 GR,24
004756,LAVAPLATOS EN CREMA X-TREME AXION 235 GR,48
000665,LAVAPLATOS LIMON IMP. AXION 130 GR,1
000718,LAVAPLATOS LIQUIDO ANTIBACTERIAL LAS LLAVES 500 ML,16
004705,LAVAPLATOS LIQUIDO BRISOL 825 ML,12
004899,LAVAPLATOS LIQUIDO LIMON AXION 400 ML,12
004958,LAVAPLATOS LIQUIDO LIMON AXION 750 ML,12
002014,LAVAPLATOS LIQUIDO TK 1 LT,12
002011,LAVAPLATOS LIQUIDO TK 500 ML,12
003150,LAVAPLATOS TK 5 LT,12
003757,LECHE COMPLETA LA PASTOREÑA 12 UND 1 LT,1
003531,LECHE COMPLETA LA PASTOREÑA 1 LT,12
002005,LECHE COMPLETA UPACA 125 GR,24
002867,LECHE CONDENSADA CAMPONESA 395 GR,27
003133,LECHE CONDENSADA CONDYLAC 395 GR,24
003706,LECHE CONDENSADA CREMOR 395 GR,1
004264,LECHE CONDENSADA MAITA 340 GR,1
001856,LECHE CONDENSADA NATULAC 340 GR,24
001820,LECHE CONDENSADA NATULAC 397 GR,24
002763,LECHE CONDENSADA NESTLE 395 GR,48
002791,LECHE CONDENSADA PARMALAT 395 GR,24
003132,LECHE CONDENSADA WEPA 395 GR,1
001849,LECHE CONDESADA SEMIDESCREMEMADA MAITA 340 GR,24
003085,LECHE DE COCO SIN AZUCAR KALDINI 400 ML,12
003532,LECHE DESCREMADA DESLACT. LA PASTOREÑA 1 LT,12
003759,LECHE DESLACTOSADA LA PASTOREÑA 12 UND 1 LT,1
003200,LECHE EN POLVO A GRANEL 400 GR,1
001871,LECHE EN POLVO CAMPESTRE 400 GR,1
001865,LECHE EN POLVO CAMPESTRE 900 GR,1
005305,LECHE EN POLVO COMPLETA LUMALAC 400 GR,24
002006,LECHE EN POLVO COMPLETA UPACA 400 GR,24
002004,LECHE EN POLVO COMPLETA UPACA 900 GR,12
002788,LECHE EN POLVO DOBON 120 GR,1
002789,LECHE EN POLVO DOBON 200 GR,1
002790,LECHE EN POLVO DOBON 400 GR,1
000856,LECHE EN POLVO INDOSA 400 GR,1
000904,LECHE EN POLVO LA CAMPESINA 800 GR,1
000848,LECHE EN POLVO LA CAMPIÑA 200 GR,1
004777,LECHE EN POLVO LA CAMPIÑA 400 GR,1
000847,LECHE EN POLVO LA CAMPIÑA 900 GR,1
004305,LECHE EN POLVO LA CAMPIÑA 962 GR,1
004196,LECHE EN POLVO SUR DEL LAGO 125 GR,24
004195,LECHE EN POLVO SUR DEL LAGO 800 GR,12
001873,LECHE ENTERA UHT CAMPESTRE 1 LT,1
003964,LECHE EVAPORADA CARNATION NESTLE 395 GR,48
003872,LECHE EVAPORADA KALDINI 410 GR,24
001475,LECHE LIQUIDA COMPLETA PURISIMA 1 LT,12
003530,LECHE LIQUIDA DESCREMADA LA PASTOREÑA 1 LT,12
001476,LECHE LIQUIDA DESCREMADA PURISIMA 1 LT,12
001485,LECHE LIQUIDA DESLACTOSADA PURISIMA 1 LT,12
000884,LECHE SEMIDESCREMADA SVELTY NESTLE 400 GR,18
000164,LECHOSA KG,1
000101,LECHUGA AMERICANA KG,1
000102,LECHUGA CRIOLLA KG,1
000147,LECHUGA ROMANA KG,1
002679,LECHUGA VALENCIANA KG,1
003687,LENTEJAS A GRANEL 1 KG,1
003210,LENTEJAS A GRANEL 500 GR,1
004786,LENTEJAS EL MAIZALITO 400 GR,30
003544,LENTEJAS EL MAIZALITO 500 GR,1
004817,LENTEJAS GRAVENCA 400 GR,20
002218,LENTEJAS GRAVENCA 500 GR,1
001752,LENTEJAS LA LUCHA 400 GR,1
001610,LENTEJAS MARY 400 GR,30
000093,LENTEJAS VENELA 500 GR,1
001883,LENTEJAS VICONE 400 GR,1
004643,LICOR CAMPARI 1 LT,1
004647,LICOR DE CAFE KAHLUA 1 LT,12
004634,LICOR DE NARANJA COINTREAU 700 ML,1
001385,LICOR DE WHISKY KINGS CLUB 1 LT,12
001813,LICOR DE WHISKY OLD TRAFFORD 700 ML,12
001711,LICOR DULCE TRIPLE SECO CAZANOVE 700 ML,12
004627,LICOR LIMONCELLO BOTTEGA 700 ML,1
002224,LICOR SECO A BASE DE RON TUCACAS 1 LT,12
004122,LICOR SECO A BASE DE WHISKY GLEN WALLACE 700 ML,12
004155,LICOR SECO CAVA BRANDY 700 ML,12
002231,LICOR SECO COCO MAR TUCACAS 1 LT,12
002230,LICOR SECO COCO Y PIÑA TUCACAS 1 LT,12
005027,LICOR SELECTED 56 BOTANICALS JAGERMEISTER 350 ML,6
004121,LICOR SELECTED 56 BOTANICALS JAGERMEISTER 700 ML,6
000292,LICOR THE ORIGINAL BAILEYS 750 ML,12
003029,LIMA PARA UÑAS,1
002903,LIMONCELLO DELLA SCOGLIERA 700 ML,1
004645,LIMONCELLO DI CAPRI 700 ML,1
000140,LIMON KG,1
005286,LIMPIADOR AEROSOL LIMON PRIDE 360 CC,12
004696,LIMPIADOR AEROSOL NARANJA PRIDE 360 ML,12
004074,LIMPIADOR AEROSOL NATURAL PRIDE 360 ML,12
004706,"LIMPIADOR BICARBONATO, NARANJA Y LIMON PODER REFORZADO AJAX 1 LT",12
004866,"LIMPIADOR BICARBONATO, NARANJA Y LIMON PODER REFORZADO AJAX 2 LT",6
002009,LIMPIA POCETAS TK 1 LT,12
004941,LOCION C/ ACEITE ALMEND. CHICCO 200 ML,10
002557,LOKIÑO CHUPETAS XXL SABORES SURTIDOS,48
004600,LOMITO DE RES GRANJA KG,1
004394,LOMITO ENTERO DE RES ALTODEVA 2.2 KG (NO USAR),1
004400,LOMITO ENTERO DE RES ALTODEVA 2.4 KG (NO USAR),1
004399,LOMITO ENTERO DE RES ALTODEVA 2.6 KG (NO USAR),1
004398,LOMITO ENTERO DE RES ALTODEVA 2.8 KG (NO USAR),1
004396,LOMITO ENTERO DE RES ALTODEVA 3.2 KG (NO USAR),1
004397,LOMITO ENTERO DE RES ALTODEVA 3 KG (NO USAR),1
002317,LOMO DE ATUN EN ACEITE LOS MONJES 160 GR,48
004286,LOMO DE ATUN EN ACEITE MARGARITA 170 GR,1
000590,LOMO DE ATUN NATURAL LOS MONJES 160 GR,48
000051,LOMO SIN HUESO KG,1
003960,MAÍZ CRUJIENTE SABOR A QUESO KG,10
004188,MAIZ CRUJIENTE SALADO DEL SUR KG,1
003091,MAIZ DULCE A LA PARRILLA KALDINI 300 GR,1
002063,MAIZ DULCE EN GRANO ARIAS 220 GR,12
002777,MAIZ DULCE EN GRANOS OLE 250 GR,12
003923,MAIZ DULCE EN LATA OSOLE 280 GR,24
003092,MAIZ DULCE EN MAZORCA KALDINI 2 PZ 560 GR,1
003093,MAIZ DULCE EN MAZORCA KALDINI 4 PZ 675 GR,8
003367,MAIZ DULCE ENTERO DEL MONTE 220 GR,12
000504,MAIZ DULCE ENTERO KALDINI 400 GR,24
004124,MAIZ DULCE LATA OSOLE 425 GR,1
002778,MAIZ EN GRANOS OLE 190 GR,12
003099,MAIZINA A GRANEL 200 GR,1
001046,MAIZINA AMERICANA ALFONZO RIVAS 120 GR,32
001038,MAIZINA AMERICANA ALFONZO RIVAS 200 GR,40
001037,MAIZINA AMERICANA ALFONZO RIVAS 400 GR,25
001036,MAIZINA AMERICANA ALFONZO RIVAS 800 GR,16
001035,MAIZINA AMERICANA ALFONZO RIVAS 90 GR,50
005003,MAIZINA ANIVERS. ALFONZO RIVAS 800 GR,8
003211,MAIZ PARA COTUFAS A GRANEL 500 GR,1
004996,MAIZ PARA COTUFAS EL MAIZALITO 400 GR,30
005051,MAIZ PARA COTUFAS GRAVENCA 400 GR,20
002217,MAIZ PARA COTUFAS GRAVENCA 500 GR,20
002850,MAIZ PARA COTUFAS KICALDO 500 GR,20
001756,MAIZ PARA COTUFAS LA LUCHA 400 GR,1
004734,MAIZ PARA COTUFAS MARY 400 GR,30
001606,MAIZ PARA COTUFAS MARY 500 GR,24
001880,MAIZ PARA COTUFAS VICONE 500 GR,1
003084,MAIZ TIERNO ENTERO KALDINI 425 GR,1
004428,MAIZ TOSTADO SABOR A QUESO GRANEL KG,15
004543,MAIZ TOSTADO SABOR BBQ AGROMANI 15 KG,1
004945,MAIZ Y GUISANTES EN LATA OSOLE 280 GR,24
005340,MAJU QUESO AMARILLO PZA COMPLETA KG,1
000545,MALLA SURTIDA UND,1
000783,MALTA DE BOTELLA NO RETORNABLE REGIONAL 207 ML,24
000782,MALTA DE BOTELLA NO RETORNABLE REGIONAL 250 ML,24
003811,MALTA DE LATA REGIONAL 295 ML,1
004500,MALTA EN LATA MORENA 250 ML,24
001590,MALTA MALTIN POLAR 1.5 LT,6
001586,MALTA MALTIN POLAR DE LATA 355 ML,24
003491,MALTA MALTIN POLAR LATA 250 ML,24
001780,MALTA MALTIN POLAR NR 250 ML,12
004501,MALTA MORENA BOTELLA 250 ML,24
004853,MALTA REGIONAL LATA 250 ML,24
004562,MALTA REGIONAL RT 222 ML,1
002271,MALVAVISCOS BLANCO MARSHMALLOWS 100 GR,70
002272,MALVAVISCOS BLANCO MARSHMALLOWS 255 GR,1
002270,MALVAVISCOS BLANCO MINI MARSHMALLOWS 100 GR,70
004909,MALVAVISCOS BOMBONES NAPOLITANO MARSHMALLOWS 225 GR,30
004908,MALVAVISCOS BOMBONES ROSA/BLANCO MARSHMALLOWS 225 GR,30
004912,MALVAVISCOS MULTICOLOR MARSHMALLOWS 100 GR,70
002268,MALVAVISCOS MULTICOLOR MARSHMALLOWS 255 GR,30
002269,MALVAVISCOS MULTICOLOR MINI MARSHMALLOWS 100 GR,70
000570,MANDARINA IMPORTADA KG,1
000128,MANDARINA KG,1
000176,MANGO KG,1
002673,MANI BOKADOS MIX MUNCHY 180 GR,20
002663,MANI BOKA´S SALADO MUNCHY 170 GR,20
002053,MANI CINNAMON HITS 160 GR,12
002042,MANI CON AJONJOLI HITS 160 GR.,12
002041,MANI CON AJONJOLI HITS 25 GR,1
002043,MANI CON AJONJOLI HITS KG,1
002054,MANI CON COCO HITS 160 GR,1
002052,MANI CON LIMON PIMIENTA HITS 160 GR,12
002045,MANI GARRAPIÑADO HIT`S 25 GR,1
003189,MANI GARRAPIÑADO HITS KG,1
002047,MANI GARRAPIÑADO NAVIDAD HITS KG,10
002046,MANI GARRAPIÑADO ROJO HITS 160 GR,12
003863,MANI JAPONES BOKADOS SALADO MUNCHY 170 GR,20
003864,MANI JAPONES BOKAS MUNCHY 25 GR,1
002051,MANI JAPONES HITS 160 GR,12
003869,MANI JAPONES HITS KG,10
003949,MANI JAPONÉS JALAPEÑO HITS 160 GR,12
003950,MANI JAPONÉS MIXTO HITS 160 GR,12
004312,MANI JAPONES SABOR A CEBOLLA HITS 160 GR,12
002664,MANI MIX SALADO BOKA´S MUNCHY 300 GR,1
002049,MANI SALADO HITS 160 GR,12
002048,MANI SALADO HITS 25 GR,12
002050,MANI SALADO HITS KG,10
001454,MANI SALADO JACKS FRITO LAY 175 GR,36
005140,MANI SALADO JUMBO HITS KG,10
002044,MANI SALADO PICANTE HITS 160 GR,12
002682,MANI SALADO SIN PIEL KING 120 GR,1
003753,MANI SURTIDO A GRANEL 200 GR,1
003466,MANTEQUILLA CON SAL EL TUNAL 200 GR,1
001487,MANTEQUILLA CON SAL PURISIMA EL TUNAL 200 GR,18
003756,MANTEQUILLA DE MANI HITS 200 GR,12
004140,MANTEQUILLA  SIN SAL PURISIMA 200 GR,1
000305,MANZANA AMARILLA UND,1
000394,MANZANA BANDEJA,1
003095,MANZANA CRIOLLA COMBO,1
000306,MANZANA DE REMATE UND,1
000187,MANZANA ROJA UND,1
000189,MANZANA VERDE IMPORTADA UND,1
003139,MANZANILLA KG,1
000268,MAQUINA DE AFEITAR DESECHABLE DALAN 3 UND,36
002408,MAQUINA DE AFEITAR PROSHIELD FUSION GILLETE,6
004186,MAQUINA DE AFEITAR SUAVE VENUS GILLETTE 2 UND,12
002407,MAQUINA DE AFEITAR VENUS CARE 2 HOJILLAS GILLETE,24
004185,MAQUINA DE AFEITAR VENUS GILLETTE 4 UND,6
000259,MAQUINA DE AFEITAR VENUS TROPICAL GILLETE 3 UND,4
001672,MARGARINA ALBECA RENDIDORA 400 GR,12
001673,MARGARINA ALBECA RENDIDORA 500 GR,1
000540,MARGARINA CHIFFON MAVESA 454 GR,12
001757,MARGARINA C/SAL LA LUCHA 454 GR,1
003634,MARGARINA GRANJA  454 GR,12
004242,MARGARINA LA ESTANCIA 250 GR,24
001664,MARGARINA LA ESTANCIA 500 GR,12
000714,MARGARINA MAVESA 1 KG,6
001950,MARGARINA MAVESA 250 GR,24
000713,MARGARINA MAVESA 500 GR,12
004314,MARGARINA MAVESA 525 GR,1
001079,MARGARINA MIRASOL 227 GR,24
001080,MARGARINA MIRASOL 454 GR,12
002129,MARGARINA NELLY 250 GR,24
000717,MARGARINA NELLY 500 GR,12
004650,MARGARITA MIX CLASSIC JOSE CUERVO 1 LT,6
002243,MASA DE PASTELITO DON SABROSO 900 GR,1
002948,MASA DE PASTELITOS SQUISITOS,1
004546,MASMELOS CHOCORENOLFO TRULULU 50 GR,1
002571,MASMELOS CHOCO VAINILLA TRULULU 50 GR,1
002544,MASMELOS CHOCO VAINILLA TRULULU 65 GR,1
005135,MASMELOS MILLOWS 250 GR,8
002551,MASMELOS RELLENO CARAMELO TRULULU 50 GR,1
002558,MASMELOS RELLENO FRESA TRULULU 50 GR,1
000483,MATA CHIRIPA POWDER COKROACH GREEN LEAF 5 GR,1
002075,MAYONESA ARIAS 175 GR,12
002055,MAYONESA ARIAS 445 GR,12
005019,MAYONESA DOYPACK GRANJA 180 GR,24
002263,MAYONESA GRANJA 465 GR,12
002288,MAYONESA KRAFT 175 GR,24
001255,MAYONESA KRAFT 445 GR,12
001758,MAYONESA LA LUCHA 445 GR,12
001665,MAYONESA LA RENDIDORA ALBECA 445 GR,12
002123,MAYONESA MAVESA 175 GR,24
000541,MAYONESA MAVESA 445 GR,12
000542,MAYONESA MAVESA 910 GR,6
002246,MAYONESA WILOS 445 GR,12
003407,MC CORMICK BBQ HONEY MUSTARD 230ML,24
003424,MC CORMICK SALSA PICANTE -SUERO DE LECHE 150ML,24
000420,MEDALLONES DE LOMITO ALTODEVA 1 KG (NO USAR),1
000442,MEDALLONES DE LOMITO ALTODEVA 500 GR (NO USAR),1
000416,MEDALLONES DE MUCHACHO RED. ALTODEVA 500 GR (NO USAR),1
000372,MELOCOTON BDJ,1
003007,MELOCOTON EN ALMIBAR FERBA 840 GR,1
002895,MELOCOTONES EN ALMIBAR GRATOS 820 GR,1
000370,MELOCOTONES EN ALMIBAR KALDINI 425 GR,24
000371,MELOCOTONES EN ALMIBAR KALDINI 820 GR,12
003281,MELOCOTON IMPORTADO KG,1
000158,MELON CRIOLLO KG,1
000406,MENTA KG,1
003177,MENTA PAQUETE,1
003164,MEREY TOSTADO KG,0
002699,MERMELADA BERRIES SIN AZUCAR VIVO 200 GR,1
005033,MERMELADA DE DURAZNO GRANJA 230 GR,24
005031,MERMELADA DE FRESA GRANJA 230 GR,24
002082,MERMELADA DE FRESA OSOLE 200 GR,24
002084,MERMELADA DE FRUTOS ROJOS OSOLE 200 GR,24
005032,MERMELADA DE GUAYABA GRANJA 230 GR,24
002086,MERMELADA DE GUAYABA OSOLE 200 GR,24
002784,MERMELADA DE MELOCOTON OLE 230 GR,1
002786,MERMELADA DE MORA OLE 230 GR,1
002083,MERMELADA DE MORA OSOLE 200 GR,24
002085,MERMELADA DURAZNO OSOLE 200 GR,24
002700,MERMELADA DURAZNO SIN AZUCAR VIVO 200 GR,20
002697,MERMELADA FRAMBUESA SIN AZUCAR VIVO 200 GR,20
000779,MERMELADA FRESA LA VIENESA 240 GR,1
002126,MERMELADA FRESA MORA LA VIÑA 240 GR,1
000780,MERMELADA GUAYABA LA VIENESA 240 GR,1
002698,MERMELADA MORA SIN AZUCAR VIVO 200 GR,20
001767,MEZCLA BROWNIES SIN GLUTEN LA LUCHA 500 GR,1
003777,MEZCLA DE LECHE CONDENSADA WYNCO 395 GR,27
000817,MEZCLA PARA AREPITAS DULCES PAN 500 GR,12
000812,MEZCLA PARA CACHAPAS PAN 500 GR,12
001766,MEZCLA PARA PANQUECAS LA LUCHA 500 GR,12
002831,MEZCLA PARA TORTA BRIGADEIRO RENATA 400 GR,12
002824,MEZCLA PARA TORTA DE ABACAXI RENATA 400 GR,12
002842,MEZCLA PARA TORTA DE BROWNIE RENATA 400 GR,12
002818,MEZCLA PARA TORTA DE CHOCOLATE RENATA 400 GR,12
002745,MEZCLA PARA TORTA DE CHOCOLATE WYNCO 400 GR,12
002822,MEZCLA PARA TORTA DE COCO RENATA 400 GR,12
002823,MEZCLA PARA TORTA DE LIMON RENATA 400 GR,12
002820,MEZCLA PARA TORTA DE MAIZ RENATA 400 GR,1
002821,MEZCLA PARA TORTA DE NARANJA RENATA 400 GR,12
001764,MEZCLA PARA TORTA DE VAINILLA LA LUCHA 500 GR,12
002819,MEZCLA PARA TORTA DE VAINILLA RENATA 400 GR,12
002744,MEZCLA PARA TORTA DE VAINILLA WYNCO 400 GR,12
004452,MEZCLA PARA TORTA DE ZANAHORIA RENATA 400 GR,12
000816,MEZCLA SEMILLAS NUTRITIVAS PAN 500 GR,12
001765,MEZCLA TORTA DE CHOCOLATE LA LUCHA 500 GR,12
002952,MIEL DE PANAL HONEY KALDINI 454 GR,6
003054,MIEL PURA DE ABEJA 0.70 ML,12
000027,MILANESA DE POLLO PUROLOMO KG,1
004149,MILANESA EMPANIZADA DE POLLO DEL CORRAL 425 GR,1
005239,MILANESA EMPANIZADA DE POLLO DEL CORRAL 450 GR,12
000354,MILANESA EMPANIZADA DE POLLO DEL CORRAL KG,1
000022,MILANESA EMPANIZADA DE POLLO PUROLOMO KG,1
001143,MINI BROWNIES PUIG 175 GR,16
005314,MINI FLAQUITO AVELLANA ENVASE ST. MORITZ 150 GR,12
003971,MINI FLAQUITO AVELLANA ST. MORITZ 150 GR,12
005259,MINI FLAQUITO NAVIDAD ST. MORITZ 150 GR,12
004891,MINI ORO TRIGO DE ORO 250 GR,24
004655,MINI PANETTONE C/ FRUTAS WYNCO 80 GR,1
004656,MINI PANETTONE CHOCOLATE WYNCO 80 GR,1
004310,MINI PANQUE DE CHOCOLATE ONCE ONCE 6 UND 180 GR,24
002604,MINI PINGUINOS MARINELA 12 UND 240 GR,1
005125,MINI PINGUINOS MARINELA 20 GR UND,1
000564,MINI PIZZA PIZZIXIMA 5 UND (NO USAR),1
004336,MINI TORTILLAS MAIZ QUESO HIJOLITOS 150 GR,1
004091,MINI WAFER DE CHOCOLATE TRIGO DE ORO 90 GR,30
004887,MINI WAFER DE FRESA TRIGO DE ORO 90 GR,30
005221,"MIX OCUMO, BATATA Y REMOLACHA ISELITAS 180 GR",10
0005219,"MIX YUCA,PLATANO,MADURITO CON SAL ISELITAS 220 GR",1
000630,MOJITO CUBA LIBRE 350 ML,24
000230,MORA BANDEJA,1
000028,MORCILLA ARROZ Y CEBOLLA LA MONTSERRATINA KG,1
000070,MORCILLA C/ CEBOLLA LA MONTSERRATINA KG,1
004114,MORCILLA ECONOMICA COBY LA MONTSERRATINA KG,1
003279,MORTADELA DE POLLO CON PIMENTON DEL CORRAL KG,1
001528,MORTADELA DE POLLO ESPECIAL DEL CORRAL 1 KG,12
003252,MORTADELA DE POLLO ESPECIAL EL CORRAL KG,1
001112,MORTADELA DE POLLO ESPECIAL PLUMROSE 1 KG,1
000092,MORTADELA DE POLLO TURZA 1 KG,1
003547,MORTADELA ESPECIAL CARACAS 1 KG,1
000535,MORTADELA ESPECIAL CARACAS 500 GR,10
002008,MORTADELA ESPECIAL CARACAS 750 GR,24
000536,MORTADELA ESPECIAL CARACAS 900 GR,10
001111,MORTADELA ESPECIAL PLUMROSE 1 KG,12
003256,MORTADELA EXTRA EL DRAGO KG,1
004350,MORTADELA SUPERIOR TAPARA EL DRAGO KG,1
000205,MORTADELA SUP. TAPARA C/ PISTACHO AHULUX KG,1
003249,MORTADELA SUP. TAPARA C/ PISTACHO KG PZA COMP. AHULUX,1
004230,MORTADELA TIPO EXTRA TURZA KG,1
003627,MORTADELA TURZA 500 GR,12
003628,MORTADELA TURZA 900 GR,12
001432,MOSTAZA EUREKA 190 GR,24
001433,MOSTAZA EUREKA 285 GR,24
003463,MOSTAZA EUREKA 480 GR,1
001973,MOSTAZA GRANJA 260 GR,20
003431,MOSTAZA PICANTE MC CORMICK 270 GR,24
003834,MOSTAZA PREPARADA ALBECA 255 GR,1
003519,MOSTAZA PREPARADA FRITZ 250 GR,12
001232,MOSTAZA PREPARADA HEINZ 195 GR,24
001233,MOSTAZA PREPARADA HEINZ 490 GR,12
003473,MOSTAZA PREPARADA IBERIA 250 GR,24
003410,MOSTAZA SPICY BROWN MC CORMICK 270 GR,24
000554,MOTAS DE ALGODON CHICCO 100 UND,12
003987,MOTAS DE ALGODON PROMO CHICCO 100 UND,12
002602,MR BROWN AREQUIPE BIMBO 75 GR,1
002603,MR BROWN DE CHOCOLATE BIMBO 65 GR,1
000112,MUCHACHO CUADRADO PARA GUISAR ALTODEVA 1 KG (NO USAR),1
004599,MUCHACHO REDONDO GRANJA KG,1
000417,MUCHACHO REDONDO NAVIDEÑO ALTODEVA 1.5 KG (NO USAR),1
000723,MULTIUSO EN CREMA LAS LLAVES 500 GR,18
003090,MUSLO DE POLLO KG,1
000025,MUSLO DE POLLO PUROLOMO KG,1
000143,ÑAME KG,1
000959,NARANJA GOLDEN 2 LT,6
003187,NARANJA IMPORTADA KG,1
000129,NARANJA KG,1
000446,NARANJA TANGELO KG,1
000257,NATILLA GRANJA 500 GR,1
005139,NATILLA YARACAL 250 GR,1
000907,NATURISIMO ENVASE MAGGI 220 GR,20
005246,NECTAR CLARIFICADO DE MANZANA S/AZUCAR YUKERY 1.5 LT,6
000952,NECTAR DE DURAZNO DEL MONTE 200 ML,27
004476,NECTAR DE DURAZNO EN LATA YUKERY  335 ML,24
005143,NECTAR DE DURAZNO GRANJA 200 ML,27
001826,NECTAR DE DURAZNO NATULAC 250 ML,24
003798,NECTAR DE DURAZNO NATULAC 330 ML,12
002332,NECTAR DE DURAZNO NATULAC BOTELLA 500 ML,1
27044,NECTAR DE DURAZNO S/A VIVO 190 ML,1
