codigo,descripcion,unidades_por_bulto
003924,BASE PARA COCINAR POLLO AL HORNO OSOLE 300 GR,24
003566,BASE PARA COCINAR POLLO EN SALSA OSOLE 300 GR,24
003565,BASE PARA COCINAR SOFRITO CRIOLLO OSOLE 300 GR,24
004975,BASE PARA PIZZA JAMON FIFIS 430 GR,1
004974,BASE PARA PIZZA PEPPERONI FIFIS 430 GR,1
005160,BASE P/PIZZA MARGARITA FIFIS 430 GR,1
000184,BATATA KG,1
005155,BATATA MUN CHYPS SALADA MUNCHY 100 GR,20
000232,BATERIA  AA ENERGIZER 4 UND,24
005115,BATERIAS AA 1.5V TUCEPA,1
004033,BATERIAS AA/AAA KINGBOY 2 UND,1
000511,BATERIAS AAA KINGBOY 2 UND,1
000026,BATERIAS AAA KINGBOY 4 UND,1
000513,BATERIAS AA KINGBOY 4 UND,1
000512,BATERIAS AA KINGBOY 4 UND,1
002799,BATERIAS KINGDURA AA,1
002798,BATERIAS KINGDURA TUCEPA AAA,10
000744,BEBIDA ACHOCOLATADA BOLSA TODDY 100 GR,36
000742,BEBIDA ACHOCOLATADA BOLSA TODDY 400 GR,24
002748,BEBIDA ACHOCOLATADA CHOCOYA WYNCO 200 ML,27
000740,BEBIDA ACHOCOLATADA ENVASE TODDY  200 GR,12
000741,BEBIDA ACHOCOLATADA ENVASE TODDY  400 GR,12
002121,BEBIDA ACHOCOLATADA LANDOR 200 GR,30
003803,BEBIDA ACHOCOLATADA LANDOR 400 GR,25
000862,BEBIDA ACHOCOLATADA RIKO MALT 250 ML,24
004985,BEBIDA ACHOCOLATADA UHT CHOCO MIL CEMIL 200 ML,27
002729,BEBIDA ARROZ CON LECHE Y CHOCOLATE VILAY 1 LT,1
002655,BEBIDA DE ALMENDRAS GREENSTAR 1 LT,12
002728,BEBIDA DE ALMENDRA Y VAINILLA VILAY 1 LT,1
002652,BEBIDA DE ARROZ CON AVELLANAS GREENSTAR 1 LT,12
002651,BEBIDA DE ARROZ CON COCO GREENSTAR 1 LT,12
002653,BEBIDA DE AVENA GREENSTAR 1 LT,12
002730,BEBIDA DE COCO SIN AZUCAR VILAY 1 LT,1
005007,BEBIDA DE MANZANA GATORADE 500 ML,12
005018,BEBIDA DE NARANJA MAI 500 ML,12
001000,BEBIDA DURAZNO LIPTON 1.5 LT,6
001002,BEBIDA DURAZNO LIPTON 500 ML,12
002916,BEBIDA ENERGETICA MANGO SANTERO 9-5-8 LATA 250 ML,24
004914,BEBIDA EN LATA ENERGETICA FRUTAS MIXTAS ROCKSTAR 355 ML,24
004739,BEBIDA EN LATA SPEED MAX  310 ML,24
003995,BEBIDA EN POLVO CHOCO COOL 200 GR,1
001866,BEBIDA EN POLVO CHOCO COOL 400 GR,1
004493,BEBIDA EN POLVO CHOCO FORTE 400 GR,1
000911,BEBIDA EN POLVO DE DURAZNO DUOPACK NESTEA 180 GR,36
